Stap;Bijbeltekst;Bijbelvertaling;Bijbelvers;Beeld;Bijbeloproep (synopsis);Bronnen;Overige;Muziek
8;Mat 5:4;HSV;Zalig bent u die nu huilt, want u zult lachen.;;Zalig zijn zij die treuren, want zij zullen vertroost worden.;http://www.webbijbel.nl/themas/De%20zaligsprekingen/Zalig%20zij%20die%20treuren.php;;
8;Jes 61:2,3;HSV;22 Zalig bent u, wanneer de mensen u haten, en wanneer zij u uitstoten en u smaden en uw naam als slecht verwerpen omwille van de Zoon des mensen.;;;;;
8;Jac 4:8-10;HSV;Nader tot God, en Hij zal tot u naderen. Reinig de handen, zondaars, en zuiver de harten, dubbelhartigen! Besef uw ellendige staat en treur en huil. Laat uw lachen veranderd worden in treuren en [uw] blijdschap in droefheid. Verneder u voor de Heere, en Hij zal u verhogen.;;;;;
8;Jon 3:4-8;HSV;En Jona begon de stad in te gaan, één dagreis. Hij predikte en zei: Nog veertig dagen en Ninevé wordt ondersteboven gekeerd! De mensen van Ninevé geloofden in God. Zij riepen een vasten uit en trokken rouwgewaden aan, van de grootste tot de kleinste onder hen. Toen dat woord de koning van Ninevé bereikte, stond hij op van zijn troon, legde zijn staatsiegewaad af, hulde zich in een rouwgewaad en ging in het stof zitten. En in Ninevé werd op bevel van de koning en zijn rijksgroten omgeroepen: Mens en dier, runderen en schapen, mogen niets eten, niet grazen en geen water drinken. Mens en dier moeten in rouwgewaden gehuld zijn en met kracht tot God roepen. Zij moeten zich bekeren, ieder van zijn slechte weg en van het geweld dat aan zijn handen kleeft.;;;;;
8;Opb 3:16-19;HSV;Maar omdat u lauw bent en niet koud en ook niet heet, zal Ik u uit Mijn mond spuwen.  Want u zegt: Ik ben rijk en steeds rijker geworden en heb aan niets gebrek, maar u weet niet dat juist u ellendig, beklagenswaardig, arm, blind en naakt bent. Ik raad u aan dat u van Mij goud koopt, gelouterd door het vuur, opdat u rijk wordt, en witte kleren, opdat u bekleed bent en de schande van uw naaktheid niet openbaar wordt. En zalf uw ogen met ogenzalf, opdat u zult kunnen zien. Ieder die Ik liefheb, wijs Ik terecht en bestraf Ik. Wees dan ijverig en bekeer u.;;;;;
8;Luk 6:21;HSV;Zalig bent u die nu huilt, want u zult lachen.;;;;;
9;Mat 5:5;HSV;Zalig [zijn] de zachtmoedigen, want zij zullen de aarde beërven.;;Zalig zijn de zachtmoedigen, want zij zullen de aarde beërven.;http://nl.cgg.org/index.cfm/fuseaction/Library.sr/CT/PERSONAL/k/1086/De-vrucht-van-de-Geest-Zachtmoedigheid.htm;;
9;Ps 37:11;HSV;Maar de zachtmoedigen zullen de aarde bezitten en vreugde scheppen in grote vrede.;;;http://www.christipedia.nl/Artikelen/Z/Zachtmoedig%2C_zachtmoedigheid;;
9;Mat 11:29;NaB;Neemt mijn juk op u en leert van mij dat ik zachtmoedig ben en nederig van hart, en ge zult rust vinden voor uw zielen;;;;;
9;Jer 6:16;HSV;Zo zegt de HEERE: Ga staan op de wegen, en zie, vraag naar de aloude paden, waar toch de goede weg is, en bewandel die. Dan zult u rust vinden voor uw ziel. Maar zij zeggen: Wij bewandelen [die] niet.;;;;;
9;Jak 1:21;HSV;Leg daarom af alle vuilheid en elke uitwas van slechtheid en ontvang met zachtmoedigheid het in [u] geplante Woord, dat uw zielen zalig kan maken.;;;;;
9;Gal 6:1;HSV;Broeders, ook als iemand onverhoeds tot enige overtreding komt, moet u die geestelijk bent, zo iemand [weer] terechtbrengen, in een geest van zachtmoedigheid. Houd intussen uzelf in het oog, opdat ook u niet in verzoeking komt.;;;;;
9;Ps 22:27;HSV;"De zachtmoedigen zullen eten en verzadigd worden; wie de HEERE zoeken, zullen Hem loven. Uw hart zal voor eeuwig leven.";;;;;
9;Ps 25:9;HSV;Hij leidt zachtmoedigen in het recht, Hij leert zachtmoedigen Zijn weg.;;;;;
9;Ps 69:33;HSV;"Als de zachtmoedigen dit zien, zullen zij zich verblijden; u die God zoekt, uw hart zal leven.";;;;;
9;Zef 2:3;HSV;Zoek de HEERE, alle zachtmoedigen van het land, die Zijn recht uitvoeren. Zoek gerechtigheid, zoek zachtmoedigheid, misschien zult u [dan] verborgen worden op de dag van de toorn van de HEERE.;;;;;
9;Ps 34:3;HSV;"Mijn ziel zal zich beroemen in de HEERE; de zachtmoedigen zullen het horen en verblijd zijn.";;;;;
10;Mat 5:6;HSV;"zalig wie hongeren en dorsten naar de gerechtigheid, want zij zullen worden verzadigd;";;Zalig zijn zij die hongeren en dorsten naar de gerechtigheid, want zij zullen worden verzadigd.;;;
10;Mat 6:33;HSV;Maar zoek eerst het Koninkrijk van God en Zijn gerechtigheid, en al deze dingen zullen u erbij gegeven worden.;;;;;
10;Mat 4:4;HSV;Maar Hij antwoordde en zei: Er staat geschreven: De mens zal niet van brood alleen leven, maar van elk woord dat uit de mond van God komt.;;;;;
10;Joh 4:13-14;HSV;Ieder die van dit water drinkt, zal weer dorst krijgen, maar wie drinkt van het water dat Ik hem zal geven, zal in eeuwigheid geen dorst meer krijgen. Maar het water dat Ik hem zal geven, zal in hem een bron worden van water dat opwelt tot in het eeuwige leven.;;;;;
10;Kol 3:1;HSV;Als u nu met Christus opgewekt bent, zoek [dan] de dingen die boven zijn, waar Christus is, Die aan de rechter[hand] van God zit.;;;;;
10;Rom 3:25;HSV;God heeft Christus Jezus gegeven als verzoeningsoffer. Door Zijn bloed zal de mens, wanneer hij gelooft, Gods rechtvaardigheid ontdekken;;;;;
10;2 Tim 2:22;NaB;Ontvlucht de verlangens van de jeugd, jaag gerechtigheid na, geloof, liefde, vrede, met wie de Heer aanroepen vanuit een rein hart.;;;;;
10;Joh 6:51;NaB;"ik ben het levende brood dat is neergedaald uit de hemel; als iemand eet van dit brood zal hij leven tot in eeuwigheid; het brood dat ik ga geven is mijn vlees, voor het leven der wereld!";;;;;
10;Ps 1:1-2;HSV;Welzalig de man die niet wandelt in de raad van de goddelozen, die niet staat op de weg van de zondaars, die niet zit op de zetel van de spotters, maar die zijn vreugde vindt in de wet van de HEERE en Zijn wet dag en nacht overdenkt.;;;;;
10;Luk 6:21;HSV;Zalig bent u die nu honger hebt, want u zult verzadigd worden. ;;;;;
10;Jes 55:1;HSV;O, alle dorstigen, kom tot de wateren, en u die geen geld hebt, kom, koop en eet, ja, kom, koop zonder geld, zonder prijs, wijn en melk.;;;;;
10;Ps 90:14;HSV;Verzadig ons in de morgen met Uw goedertierenheid, dan zullen wij juichen en verblijd zijn, tijdens al onze dagen.;;;;;
10;Luk 1:53;HSV;Hongerigen heeft Hij met goede gaven verzadigd en rijken heeft Hij met lege handen weggezonden.;;;;;
10;Ps 34:11;HSV;Jonge leeuwen lijden armoede en honger, maar wie de HEERE zoeken, hebben geen gebrek aan enig goed.;;;;;
11;Mat 5:7;HSV;Zalig [zijn] de barmhartigen, want aan hen zal barmhartigheid bewezen worden.;;Zalig zijn de barmhartigen, want aan hen zal barmhartigheid bewezen worden.;;;
11;Mat 6:2-4;NaB;"Wanneer je dus een daad van barmhartigheid doet, bazuin het niet voor je uit, zoals de schijnheiligen doen in de synagogen en in de stegen om verheerlijkt te worden door de mensen; zeker is het, zeg ik u, zij hebben hun loon al. maar als jij een daad van barmhartigheid doet, moet je linkerhand niet weten wat je rechterhand doet, opdat je barmhartigheid in het verborgene geschiedt; en je Vader die in die verborgenheid kijkt, zal je ervoor teruggeven!";;;;;
11;Ef 4:31,32;HSV;Laat alle bitterheid, woede, toorn, geschreeuw en laster van u weggenomen worden, met alle slechtheid, maar wees ten opzichte van elkaar vriendelijk [en] barmhartig, en vergeef elkaar, zoals ook God in Christus u vergeven heeft.;;;;;
11;2 Kro 30:9;HSV;Want als u zich tot de HEERE bekeert, zullen uw broeders en uw kinderen barmhartigheid vinden bij hen die hen als gevangenen weggevoerd hebben, zodat zij in dit land zullen terugkomen. De HEERE, uw God, is immers genadig en barmhartig, en zal het aangezicht niet van u afwenden als u zich tot Hem bekeert.;;;;;
11;Ps 103:8;HSV;Barmhartig en genadig is de HEERE, geduldig en rijk aan goedertierenheid.;;;;;
11;Luk 6:36;HSV;Wees dan barmhartig, zoals ook uw Vader barmhartig is.;;;;;
11;Jak 2:13;HSV;Want onbarmhartig zal het oordeel zijn over hem die geen barmhartigheid heeft bewezen. En de barmhartigheid triomfeert over het oordeel.;;;;;
11;Ps 41:2-4;HSV;"Welzalig is hij die verstandig omgaat met een ellendige;  in dagen van onheil zal de HEERE hem bevrijden. 3. De HEERE zal hem bewaren en hem in het leven behouden;  hij zal op aarde gelukkig gemaakt worden.   Geef hem niet over aan het verlangen van zijn vijanden. 4. De HEERE zal hem ondersteunen op zijn rustbank;  als hij ziek is, maakt U heel zijn ziekbed anders.";;;;;
11;Mat 12:7;HSV;Maar als u geweten had wat het betekent: Ik wil barmhartigheid en geen offer, dan zou u de onschuldigen niet veroordeeld hebben.;;;;;
11;Mat 9:13;HSV;"Maar ga heen en leer wat het betekent: Ik wil barmhartigheid en geen offer; want Ik ben niet gekomen om rechtvaardigen tot bekering te roepen, maar zondaars.";;;;;
11;Hos 6:6;HSV;Want Ik vind vreugde in goedertierenheid en niet in offer, in kennis van God meer dan in brandoffers!;;;;;
11;Mat 23:23;HSV;Wee u, schriftgeleerden en Farizeeën, huichelaars, want u geeft tienden van de munt, de dille en de komijn, en u laat het belangrijkste van de Wet na: het recht, en de barmhartigheid en het geloof. Deze dingen zou men moeten doen en die andere dingen niet nalaten.;;;;;
11;Luk 10:29-37;HSV;"Maar hij wilde zichzelf rechtvaardigen en zei tegen Jezus: Wie is mijn naaste?
30. Jezus antwoordde en zei: Een man ging van Jeruzalem naar Jericho en viel in de handen van rovers, die hem de kleren uittrokken, hem daarbij slagen toedienden en hem bij hun vertrek halfdood lieten liggen.
31. Toevallig kwam er een priester langs diezelfde weg, en toen hij hem zag, ging hij aan de overkant voorbij.
32. Evenzo ging ook een Leviet, toen hij op die plek kwam en hem zag, aan de overkant voorbij.
33. Maar een Samaritaan die op reis was, kwam in zijn buurt, en toen hij hem zag, was hij met innerlijke ontferming bewogen.
34. En hij ging naar hem toe, verbond zijn wonden en goot er olie en wijn op. Hij tilde hem op zijn eigen rijdier, bracht hem naar een herberg en verzorgde hem.
35. En toen hij de volgende dag wegging, haalde hij twee penningen tevoorschijn, en hij gaf ze aan de waard en zei tegen hem: Zorg voor hem, en wat u verder aan kosten maakt, zal ik u geven als ik terugkom.
36. Wie van deze drie denkt u dat de naaste geweest is van hem die in handen van de rovers gevallen was?
37. En hij zei: Degene die hem barmhartigheid bewezen heeft. Jezus zei tegen hem: Ga heen en doet u evenzo.";;;;;
12;Mat 5:8;HSV;Zalig [zijn] de reinen van hart, want zij zullen God zien.;;Zalig zijn de reinen van hart, want zij zullen God zien.;https://christenzijn.nl/zalig-zijn-de-reinen-van-hart;Dara Maclean – Blameless;
12;Ps 24:4-5;HSV;Wie rein is van handen en zuiver van hart, wie zijn ziel niet opheft tot wat vals is, en niet bedrieglijk zweert. Hij zal zegen ontvangen van de HEERE en gerechtigheid van de God van zijn heil.;;;;Jezus’ norm van reinheid is geen zware regel. Reinheid is een geschenk aan jezelf. Het geeft je rust.;
12;Ps 51:12;HSV;Schep mij een rein hart, o God, en vernieuw in mijn binnenste een standvastige geest.;;;;Create In Me – Rend Collective;
12;1 Tim 1:5;HSV;Het einddoel nu van het gebod is liefde [die voortkomt] uit een rein hart, een goed geweten en een ongeveinsd geloof.;;;;;
12;2 Tim 2:22;NaB;Ontvlucht de verlangens van de jeugd, jaag gerechtigheid na, geloof, liefde, vrede, met wie de Heer aanroepen vanuit een rein hart.;;;;;
12;Heb 10:22;HSV;laten wij tot [Hem] naderen met een waarachtig hart, in volle zekerheid van het geloof, nu ons hart gereinigd is van een slecht geweten en ons lichaam gewassen is met rein water.;;;;;
12;Ps 119:9;NBG;Waarmede zal de jongeling zijn pad rein bewaren? Als hij dat houdt naar uw woord.;;;;;
12;Heb 9:11-14;;zie bijbel;;;;;
12;Heb 10:11-25;;zie bijbel;;;;;
12;Heb 12:1-14;;zie bijbel;;;;;
12;Ps 15:2;HSV;Hij die oprecht wandelt en gerechtigheid beoefent, die met zijn hart de waarheid spreekt.;;;;;
13;Mat 5:9;NaB;"zalig wie vrede sluiten, want zij zullen zonen van God genoemd worden;";;Zalig zijn de vredestichters, want zij zullen zonen van God genoemd worden.;;"De vrede Gods is een gevolg van het offer van de Here Jezus. Vrede Gods kun je ervaren. Het is de diepe stilte en rust in ons binnenste. Niet zozeer een gevoel, maar iets wat dieper zit; in ons onbewuste binnenste. Een zeker weten dat het goed is tussen God en ons door het offer van de Here Jezus. Het is de vrede van God, die alle begrip te boven gaat (Fil. 4:7). Vrede, die ons diep van binnen doet beseffen dat wij Gods kinderen zijn. Het is de vrede die ongelovige mensen proeven, dat jij iets hebt wat anderen niet hebben. (BRON: Henk Binnendijk?)";
13;Rom 8:14-16;NaB;Zovelen als zich laten leiden door Gods Geest die zijn zonen-en-dochters van God. Ge hebt niet een geest van knechtschap ontvangen om u opnieuw vrees aan te jagen, nee, ge hebt ontvangen een geest van aanneming tot zonen-en-dochters, door wie wij schreeuwen: Abba!, Vader! De Geest zelf betuigt mee met onze geest dat wij kinderen van God zijn.;;;;;
13;Joh 14:27;HSV;"Vrede laat Ik u, Mijn vrede geef Ik u; niet zoals de wereld die geeft, geef Ik die u. Laat uw hart niet in beroering raken en niet bevreesd worden";;;;;
13;Fil 4:7;HSV;en de vrede van God, die alle begrip te boven gaat, zal uw harten en uw gedachten bewaken in Christus Jezus.;;;;;
13;Jes 32:17;HSV;De vrucht van de gerechtigheid zal vrede zijn, en de uitwerking van de gerechtigheid: rust en veiligheid tot in eeuwigheid.;;;;;
13;Joh 16:33;HSV;Deze dingen heb Ik tot u gesproken, opdat u in Mij vrede zult hebben. In de wereld zult u verdrukking hebben, maar heb goede moed: Ik heb de wereld overwonnen.;;;;;
13;Ef 2:13;HSV;Maar nu, in Christus Jezus, bent u, die voorheen veraf was, door het bloed van Christus dichtbij gekomen.;;;;;
14;Mat 5:10;NaB;"zalig wie worden vervolgd vanwege een rechtvaardige zaak, want van hen is het koninkrijk der hemelen;";;Zalig is de man die verzoeking verdraagt, hij zal de kroon van het leven ontvangen.;De kracht om risico’s te nemen ligt in Gods belofte;;
14;Mat 5:11;HSV;Zalig bent u als men u smaadt en vervolgt, en door te liegen allerlei kwaad tegen u spreekt, omwille van Mij.;;;"Zalig wie worden vervolgd vanwege een rechtvaardige zaak, want van hen is het koninkrijk der hemelen;";;
14;Mat 5:12;HSV;Verblijd en verheug u, want uw loon is groot in de hemelen, want zo hebben ze de profeten vervolgd die er vóór u [geweest zijn.];;;;;
14;1 Pet 3:14;HSV;Maar als u ook zou moeten lijden vanwege de gerechtigheid, dan bent u zalig. En wees niet bevreesd zoals zij bevreesd zijn, laat u niet in verwarring brengen,;;;;;
