Stap;Bijbeltekst;Bijbelvertaling;Bijbelvers;Beeld;Bijbeloproep (synopsis);Bronnen;Overige;Muziek
14;Rom 8:38-39;HSV;Want ik ben ervan overtuigd dat noch dood, noch leven, noch engelen, noch overheden, noch krachten, noch tegenwoordige, noch toekomstige dingen, noch hoogte, noch diepte, noch enig ander schepsel ons zal kunnen scheiden van de liefde van God in Christus Jezus, onze Heere.;;;;;
14;1 Pet 4:14-16;HSV;Als u smaad wordt aangedaan om de Naam van Christus, dan bent u zalig, want de Geest van de heerlijkheid en van God rust op u. Wat hen betreft wordt Hij wel gelasterd, maar wat u betreft wordt Hij verheerlijkt. Maar laat niemand van u lijden als een moordenaar of dief, of kwaaddoener, of als iemand die zich met de zaken van iemand anders bemoeit. Als iemand echter als christen lijdt, laat hij zich daarvoor niet schamen, maar God in dit opzicht verheerlijken.;;;;;
14;Luk 6:22;HSV;Zalig bent u, wanneer de mensen u haten, en wanneer zij u uitstoten en u smaden en uw naam als slecht verwerpen omwille van de Zoon des mensen.;;;;;
14;Luk 21:16-19;NaB;"Maar ge zult wel overgegeven worden, zelfs door ouders en broers, bloedverwanten en vrienden, en ze zullen ook mensen uit uw midden ter dood brengen; ge zult bij allen gehaat wezen vanwege mijn naam, maar geen haar van uw hoofd gaat verloren; door uw volharding zult ge uw levens-en-zielen winnen!";;;;;
14;2 Tim 2:11-12;HSV; Dit is een betrouwbaar woord. Want als wij met Hem gestorven zijn, zullen wij ook met Hem leven. Als wij volharden, zullen wij ook met Hem regeren. Als wij Hem verloochenen, zal Hij ons ook verloochenen.;;;;;
14;2 Kor 4:10;HSV; Wij dragen altijd het sterven van de Heere Jezus in het lichaam mee, opdat ook het leven van Jezus in ons lichaam openbaar wordt.;;;;;
14;Mat 13:18-21;HSV;"Luistert ú dan naar de gelijkenis van de zaaier. Als iemand het Woord van het  Koninkrijk hoort en het niet begrijpt, dan komt de boze en rukt weg wat in zijn hart gezaaid was; dat is hij bij wie langs de weg gezaaid is. Maar bij wie op de steenachtige grond gezaaid is, dat is hij die het Woord hoort en dat meteen met vreugde ontvangt. Hij heeft echter geen wortel in zichzelf, maar hij is iemand van het ogenblik; en als er verdrukking of vervolging komt omwille van het Woord, struikelt hij meteen.";;;;;
14;Jak 1:12;HSV;Zalig is de man die verzoeking verdraagt, want als hij beproefd gebleken is, zal hij de kroon van het leven ontvangen, die de Heere beloofd heeft aan hen die Hem liefhebben.;;;;;
14;Job 5:17;HSV;"Zie, welzalig is de sterveling die door God gestraft wordt; verwerp daarom de bestraffing van de Almachtige niet.";;;;;
14;Mat 10:18-22;HSV;"En u zult ook voor stadhouders en koningen geleid worden omwille van Mij, tot een getuigenis voor hen en de heidenen. 19. Maar wanneer zij u overleveren, moet u niet bezorgd zijn hoe of wat u spreken moet, want het zal u op dat moment gegeven worden wat u spreken moet. 20. Want u bent het niet die spreekt, maar de Geest van uw Vader, Die in u spreekt. 21. De ene broer zal de andere broer overleveren om gedood te worden, en de vader het kind, en de kinderen zullen tegen de ouders opstaan en hen doden. 22. En u zult door allen gehaat worden omwille van Mijn Naam; maar wie volharden zal tot het einde, die zal zalig worden.";;;;;
14;Mat 24:13;HSV;Maar wie volharden zal tot het einde, die zal zalig worden.;;;;;
14;Mar 8:35;HSV;"Want wie zijn leven zal willen behouden, die zal het verliezen; maar wie zijn leven zal verliezen omwille van Mij en om het Evangelie, die zal het behouden.";;;;;
14;Mar 13:9,13;HSV;"Past u op uzelf; want ze zullen u overleveren aan raadsvergaderingen, en in de synagogen zult u geslagen worden; en u zult voor stadhouders en koningen geplaatst worden omwille van Mij, tot een getuigenis voor hen. […]
13 En u zult door allen gehaat worden omwille van Mijn Naam, maar wie volharden zal tot het einde, die zal zalig worden.";;;;;
14;Luk 12:4;HSV;En Ik zeg u, Mijn vrienden: Wees niet bevreesd voor hen die het lichaam doden en daarna niets meer kunnen doen.;;;;;
;;;;;;;;
;;;;;;;;
15;Mat 5:12;HSV;Verblijd en verheug u, want uw loon is groot in de hemelen, want zo hebben ze de profeten vervolgd die er vóór u [geweest zijn.];;Verblijd en verheug u, want uw loon is groot in de hemelen;;;
15;Ps 34:3;HSV;"Mijn ziel zal zich beroemen in de HEERE; de zachtmoedigen zullen het horen en verblijd zijn.";;;;;
15;Ps 34:13;HSV;Wie is de man die vreugde vindt in het leven, die dagen liefheeft om het goede te zien?;;;;;
15;Ps 1:1-3;HSV;"Welzalig de man
die niet wandelt in de raad van de goddelozen,
die niet staat op de weg van de zondaars,
die niet zit op de zetel van de spotters,
2. maar die zijn vreugde vindt in de wet van de HEERE
en Zijn wet dag en nacht overdenkt.

3. Want hij zal zijn als een boom, geplant aan waterbeken,
die zijn vrucht geeft op zijn tijd,
waarvan het blad niet afvalt;
al wat hij doet, zal goed gelukken.";;;;;
15;Ps 119:16;HSV;Ik verblijd mij in Uw verordeningen, Uw woord vergeet ik niet.;;;;;
15;Luk 1:14;HSV;En er zal blijdschap en vreugde voor u zijn en velen zullen zich over zijn geboorte verblijden,;;;;;
15;Luk 1:46-47;HSV;En Maria zei: Mijn ziel maakt de Heere groot, 77. en mijn geest verheugt zich in God, mijn Zaligmaker,;;;;;
15;Luk 10:17-20;HSV;"De zeventig zijn teruggekeerd met blijdschap en zeiden: Heere, zelfs de demonen zijn in Uw Naam aan ons onderworpen.
18. Hij zei tegen hen: Ik zag de satan als een bliksem uit de hemel vallen.
19. Zie, Ik geef u de macht om op slangen en schorpioenen te trappen en de macht over alle kracht van de vijand; en niets zal u schade toebrengen.
20. Verblijd u echter niet daarover dat de geesten aan u onderworpen zijn, maar verblijd u erover dat uw namen opgeschreven zijn in de hemel.";;;;;
15;Mat 5:13;HSV;"U bent het zout van de aarde; maar als het zout zijn smaak verloren heeft, waarmee zal het gezouten worden? Het deugt nergens meer voor dan om weggeworpen en door de mensen vertrapt te worden.";;Wees het zout van de aarde.;;;
15;Lev 2:13;HSV;Elke offergave van uw graanoffers moet u met zout bereiden. Het zout van het verbond met uw God mag u aan uw graanoffer niet laten ontbreken. Bij al uw offergaven moet u zout aanbieden.;;;;;
15;Mar 9:42-50;HSV;"42 En wie een van deze kleinen, die in Mij geloven, doet struikelen, het zou beter voor hem zijn dat er een molensteen om zijn hals gedaan en hij in de zee geworpen werd. 43 En als uw hand u doet struikelen, hak hem dan af; het is beter voor u verminkt het leven in te gaan dan met twee handen heen te gaan in de hel, in het onuitblusbare vuur, 44 waar hun worm niet sterft en het vuur niet uitgeblust wordt. 45 En als uw voet u doet struikelen, hak hem dan af; het is beter voor u kreupel het leven in te gaan dan met twee voeten geworpen te worden in de hel, in het onuitblusbare vuur, 46 waar hun worm niet sterft en het vuur niet uitgeblust wordt. 47 En als uw oog u doet struikelen, werp het dan uit; het is beter voor u met één oog het Koninkrijk van God in te gaan dan met twee ogen in het helse vuur geworpen te worden, 48 waar hun worm niet sterft en het vuur niet uitgeblust wordt. 49 Want iedereen zal met vuur gezouten worden en ieder offer zal met zout gezouten worden. 50 Het zout is goed, maar als het zout zoutloos wordt, waarmee zult u het smakelijk maken? Heb zout in uzelf en leef met elkaar in vrede.";;;;;
15;2 Kron 13:5;HSV;Weet u niet dat de HEERE, de God van Israël, voor eeuwig het koningschap over Israël aan David gegeven heeft, aan hem en aan zijn zonen, door een met zout bekrachtigd verbond?;;;"Abia’s getuigenis
In de oorlog van Abia met Jerobeam wordt de tegenstelling tussen afgodendienst en het dienen van de HEERE duidelijk. Hoewel Abia’s hart niet volkomen de HEERE dient, houdt hij toch vast aan de belofte van de HEERE . Hij vertrouwt op het gemaakte zoutverbond, het altijddurende verbond van de HEERE met de zonen uit Davids nageslacht. Zout is bederfwerend, conserverend en getuigt van Gods blijvende trouw. Hoe staat het met onze trouw tegenover de HEERE ? Hebben wij Hem vaak bedroefd en onteerd door ontrouw aan Hem te zijn? Wat zou er boven ons leven als een getuigenis staan? Eén ding dat nodig was ontbrak bij Abia: een oprecht schuldgevoel, een geraakt geweten. Laten wij met onze schuld naar Christus gaan, zijn Woord is een zoutend, zuiverend zout voor een oprecht hart. Door Christus’ liefde zijn wij het zout voor deze aarde om te getuigen van Gods blijvende liefde voor de mensen.
Christus dienen is met Hem regeren: Trek mij, o Koning, en wij zullen U volgen.
Copyright: www.herzienestatenvertaling.nl - 7 juli 2019";;
16;Mat 5:14-16;HSV;U bent het licht van de wereld. Een stad die boven op een berg ligt, kan niet verborgen zijn. En ook steekt men geen lamp aan en zet die onder de korenmaat, maar op de standaard, en hij schijnt voor allen die in het huis [zijn]. Laat uw licht zo schijnen voor de mensen, dat zij uw goede werken zien en uw Vader, Die in de hemelen is, verheerlijken.;;Wees het licht van de wereld.;Burn Like a Star – Rend Collective;;
16;Mar 4:21;HSV;Hij zei ook tegen hen: De lamp wordt toch niet binnengebracht om onder de korenmaat of onder het bed gezet te worden? Is het niet om op de standaard gezet te worden?;Of Oog…?;;;;
16;Luk. 8:16  ;HSV;En niemand die een lamp aansteekt, plaatst er een vat overheen of zet hem onder een bed, maar hij zet hem op een standaard, opdat zij die binnenkomen, het licht kunnen zien.;;;;;
16;Luk. 11:33-36;HSV;"Niemand die een lamp aansteekt, zet die in het verborgene, en ook niet onder de korenmaat, maar op de standaard, opdat zij die binnenkomen, het licht kunnen zien. 34. De lamp van het lichaam is het oog. Wanneer dan uw oog oprecht is, is ook heel uw lichaam verlicht; maar als het kwaadaardig is, is ook heel uw lichaam duister. 35. Zie er dus op toe, dat het licht dat in u is, geen duisternis is. 36. Als dus uw lichaam helemaal licht is, en geen enkel deel ervan duister is, zal het net zo geheel licht zijn als wanneer de lamp het met zijn schijnsel verlicht.";;;;;
16;Ex 25:37;HSV;Vervolgens moet u de bijbehorende zeven lampen maken. Men moet die lampen aansteken en licht doen verspreiden in de richting van de voorzijde van [de kandelaar].;;;;;
16;Jes 58:9-10;HSV;Als u uw hart opent voor de hongerigen, en de verdrukte ziel verzadigt, dan zal uw licht in de duisternis opgaan, en uw donkerheid als de middag zijn.;;;;;
16;Opb 1:20;HSV;Het geheimenis […] van de zeven gouden kandelaren [...], zijn [de] zeven gemeenten.;;;;;
16;Opb 2:5;HSV;"gedenk dan vanwaar je bent gevallen en kom tot omkeer en doe je eerste werken; zo niet, dan kom ik tot jou en zal ik je kandelaar van haar plaats verwijderen als je niet tot omkeer komt;";;;;;
16;Mat 10:27;HSV;"Wat Ik u zeg in het duister, zeg het in het licht; en wat u hoort in het oor, predik dat op de daken.";;;;;
16;Luk 12:3;HSV;Daarom, al wat u in het duister gezegd hebt, zal in het licht gehoord worden en wat u in de binnenkamers in [iemands] oor gesproken hebt, zal op de daken gepredikt worden.;;;;;
16;Fil 2:14-15;HSV;"Doe alle dingen zonder morren en meningsverschillen,
15. opdat u onberispelijk en oprecht zult zijn, kinderen van God, smetteloos te midden van een verkeerd en ontaard geslacht, waaronder u schijnt als lichten in de wereld,";;;;;
17;Mat 5:19;HSV;"Wie dan een van deze geringste geboden afschaft en de mensen zo onderwijst, zal de geringste genoemd worden in het Koninkrijk der hemelen; maar wie [ze] doet en onderwijst, die zal groot genoemd worden in het Koninkrijk der hemelen.";;Wie de wet doet en onderwijst, zal groot genoemd worden in het Koninkrijk der hemelen.;;;
17;1 Kor 9:20-21;NaB;"Voor de Judeeërs ben ik als een Judeeër geworden om Judeeërs te winnen; voor wie onder een wet staan als onder een wet, hoewel ik zelf niet onder een wet sta,- om mensen die onder een wet staan te winnen; voor wet-lozen als een wet-loze, hoewel ik niet leef zonder de wet van God maar met de wet van Christus in mij,- om wie wet-loos zijn te winnen;";;;;;
17;Jes 33:22;NaB;Want de Ene is onze rechter, de Ene stelt ons de wet, de Ene is onze koning, hij is onze bevrijder. ;;;;;
17;Heb 10:16;NaB;‘dit is het verbond waarin ik mij verbinden zal met hen, na die dagen’, zegt de Heer: ‘ik zal mijn wetten geven op hun harten en die ook schrijven op hun denken;;;;;
17;Mat 28:19;HSV;Ga dan heen, onderwijs al de volken, hen dopend in de Naam van de Vader en van de Zoon en van de Heilige Geest, hun lerend alles wat Ik u geboden heb, in acht te nemen.;;;;;
17;Luk 16:17;HSV;En het is gemakkelijker dat de hemel en de aarde voorbijgaan, dan dat één tittel van de wet wegvalt.;;;;;
18;Mat 5:21-22;HSV;"U hebt gehoord dat tegen het voorgeslacht  gezegd is:  U zult niet doden; en: Wie doodt, zal door de rechtbank schuldig bevonden worden. Maar Ik zeg u: Al wie ten onrechte boos is op zijn broeder, zal schuldig bevonden worden door de rechtbank. En al wie tegen zijn broeder zegt: Raka! zal schuldig bevonden worden door de Raad; maar al wie zegt: Dwaas! die zal schuldig bevonden worden tot het helse vuur";;Wees geduldig;;;
18;Ef 4:26-27, 29;HSV;"Word boos, maar zondig niet; laat de zon niet ondergaan over uw boosheid, en geef de duivel geen plaats. […]. Laat er geen vuile taal uit uw mond komen, maar wel iets goeds, wat nuttig is tot opbouw,  opdat het genade geeft aan hen die het horen. […]";;;;;
18;Ef 4:31-32;HSV;Laat alle bitterheid, woede, toorn, geschreeuw en laster van u weggenomen worden, met alle slechtheid, maar wees ten opzichte van elkaar vriendelijk en barmhartig, en  vergeef elkaar, zoals ook God in Christus u vergeven heeft.;;;;;
18;Ps 4:5;HSV;"Wees ontzet, maar zondig niet; spreek in uw hart wanneer u op uw slaapplaats ligt, en wees stil.";;;;;
18;Spr 15:1;HSV;Een  zacht antwoord keert woede af, maar een krenkend woord wekt toorn op. ;;;;;
18;Spr 16:32;HSV;Een geduldig man is beter dan een dappere held, en wie zijn geest beheerst, is beter dan wie een stad inneemt. ;   ;;;;
18;Spr 14:29;HSV;Wie geduldig is, heeft veel inzicht, maar wie kortaangebonden is, verheft de dwaasheid.;;;;;
19;Mat 5:23-25;HSV;Als u dan uw gave op het altaar offert en u zich daar herinnert dat uw broeder iets tegen u heeft, laat uw gave daar bij het altaar achter en ga heen, verzoen u eerst met uw broeder en kom dan terug en offer uw gave. Stel u zo snel mogelijk welwillend op tegenover uw tegenpartij, terwijl u nog met hem onderweg bent;;Verzoen je zo snel mogelijk met je broeder;;;
19;Ef 4:26;HSV;laat de zon niet ondergaan over uw boosheid, en geef de duivel geen plaats;;;;;
19;Luk 12:58;HSV;Want als u met uw tegenpartij naar de overheid gaat, doe dan onderweg moeite om van hem verlost te worden, opdat hij u misschien niet voor de rechter sleept en de rechter u aan de gerechtsdienaar overlevert en de gerechtsdienaar u in de gevangenis werpt.;;;;;
;;;"Spreuken 25:8 Ga er niet te snel opuit om iemand aan te klagen.
Wat zult u anders uiteindelijk doen,
wanneer uw naaste u te schande maakt?";;;;;
;;;"Spreuken 18:17 Wie de eerste is in zijn rechtszaak, lijkt rechtvaardig te zijn,
maar dan komt zijn naaste en doorgrondt hem.";;;;;
;;;;;;;;
20;Mat 5:27-32;;niet begerig kijken – zie bijbel;;Wees trouw aan je partner;;;
20;Mal 2:14-16;HSV;fvrij;;;;;
20;1 Kor 7:2,10,39;;zie bijbel;;;;;
20;1 Pet 4:1-2;HSV;1 Welnu, omdat Christus voor ons in het vlees geleden heeft, moet ook u zich wapenen met dezelfde gedachte: wie in het vlees geleden heeft, is opgehouden met de zonde, 2 om nu, in de tijd die ons nog overblijft in het vlees, niet meer naar de begeerten van mensen, maar naar de wil van God te leven.;;;;;
20;Luk 18:1-20;;Je mag geen overspel plegen, en niet met familie trouwen etc;;;;;
20;Spr 30:20;HSV;Zo is de weg van een overspelige vrouw: zij eet, wist haar mond af en zegt: Ik heb geen onrecht bedreven.;;;;;
20;Heb 13:4;HSV;Laat het huwelijk bij allen in ere zijn en het huwelijksbed onbevlekt, want ontuchtplegers en overspelers zal God oordelen.;;;;;
20;Mat 19:9;HSV;Maar Ik zeg u: Wie zijn vrouw verstoot anders dan om hoererij en met een ander trouwt, die pleegt overspel, en wie met de verstotene trouwt, pleegt ook overspel.;;;;;
20;Mar 10:9;HSV;Dus, wat God samengevoegd heeft, laat de mens dat niet scheiden.;;;;;
20;Mar 10:19;HSV;"U kent de geboden: U zult geen overspel plegen;";;;;;
21;Mat 5:33-37;HSV;"Verder hebt u gehoord dat tegen de ouden gezegd is: U zult de eed niet breken, maar u zult voor de Heere uw eden houden. Maar Ik zeg u: Zweer in het geheel niet, niet bij de hemel, want dat is de troon van God; niet bij de aarde, want dat is de voetbank van Zijn voeten; en ook niet bij Jeruzalem, want dat is de stad van de grote Koning. Ook bij uw hoofd mag u niet zweren, want u kunt niet één haar wit of zwart maken; laat uw woord ja echter ja zijn en uw nee nee; wat hierboven uitgaat, is uit de boze.";;Welzalig zijn de oprechten van wandel, die in de wet van de HEERE gaan.;;;
21;Jak 5:12;HSV;Maar voor alle dingen, mijn broeders, zweer niet: niet bij de hemel, ook niet bij de aarde, en zweer ook geen enkele andere eed, maar laat uw ja ja zijn en uw nee nee, opdat u niet onder enig oordeel valt.;;;;;
21;1 Joh 3:18;NBV;Kinderen, we moeten niet liefhebben met de mond, met woorden, maar waarachtig, met daden.;;;;;
21;Lev 19:12;HSV;U mag geen valse eed afleggen in Mijn Naam, en zo de Naam van uw God ontheiligen. Ik ben de HEERE.;;;;;
21;2 Kor 1:15-22;HSV;Zie bijbel;;;;;
21;Luk 3:13;HSV;Hij zei tegen hen [tollenaars]: Eis niet meer dan wat u voorgeschreven is.;;;;;
21;Spr 21:3;NBV;De HEER heeft liever dat je eerlijk en rechtvaardig handelt dan dat je een offer brengt.;;;;;
21;Mar 10:19;HSV;U kent de geboden: […] u zult geen vals getuigenis afleggen;;;;;
21;Ps 119:1;HSV;Welzalig zijn de oprechten van wandel, die in de wet van de HEERE gaan.;;;;;
22;Mat 5:38-39;HSV;"U hebt gehoord dat er gezegd is: Oog voor oog en tand voor tand. Ik zeg u echter dat u geen weerstand moet bieden aan de boze; maar wie u op de rechterwang slaat, keer hem ook de andere toe; ";;Word niet overwonnen door het kwade, maar overwin het kwade door het goede.;https://www.desiringgod.org/articles/did-jesus-teach-pacifism;;
22;Lev 24:19-20;HSV;Als iemand zijn naaste letsel toebrengt, moet hem hetzelfde aangedaan worden wat hij gedaan heeft: breuk voor breuk, oog voor oog, tand voor tand. Zoals hij de ander letsel heeft toegebracht, moet hem hetzelfde toegebracht worden.;;;;In de primaire plaats moeten we het kwaad overwinnen door het goede te doen, of door er niet verder op in te gaan. Soms is het gepast om zelfverdediging te gebruiken, maar het is voor individuen nooit gepast om anderen te straffen. God heeft de overheid de verantwoordelijkheid gegeven om burgerlijke misdaden te straffen (Rom 13:3-4).;
22;Ex 21:24;HSV;oog voor oog, tand voor tand, hand voor hand, voet voor voet,;;;;;
22;Rom 12:17-21;NaB;Vergeld niemand kwaad met kwaad. Wees bedacht op wat goed is voor alle mensen. Leef, zo mogelijk, voor zover het van u afhangt, in vrede met alle mensen. Wreek uzelf niet, geliefden, maar laat ruimte voor de toorn, want er staat geschreven: Mij komt de wraak toe, Ik zal het vergelden, zegt de Heere. Als dan uw vijand honger heeft, geef hem te eten, als hij dorst heeft, geef hem te drinken, want door dat te doen, zult u vurige kolen op zijn hoofd hopen. Word niet overwonnen door het kwade, maar overwin het kwade door het goede.;;;;;
22;Rom 13:3-4;Nab;Want voor de overheid hoeft men niet te vrezen, wanneer men goede werken doet, maar wel als men kwade werken doet. Wilt u nu van het gezag niets te vrezen hebben, doe het goede en u zult er lof van ontvangen. Zij is immers Gods dienares, u ten goede. Als u echter kwaad doet, vrees dan, want zij draagt het zwaard niet zonder reden. Zij is namelijk Gods dienares, een wreekster tot straf voor hem die het kwade doet.;;;;;
22;1 Pet 12-15;HSV;"12 Houd uw levenswandel onder de heidenen goed; opdat zij die nu van u kwaadspreken als van kwaaddoeners, door de goede werken die zij in u waarnemen, God verheerlijken mogen op de dag dat er naar hen omgezien wordt. 13 Onderwerp u dan omwille van de Heere aan alle menselijke orde, hetzij aan de koning, als hoogste machthebber, 14 hetzij aan de stadhouders, als mensen die door hem gezonden worden tot straf van de kwaaddoeners, maar tot lof van hen die goeddoen. 15 Want zo is het de wil van God, dat u door goed te doen het onverstand van de dwaze mensen de mond snoert;";;;;;
;;;;;;;;
23;Mat 5:40-42;HSV;"en als iemand u voor het gerecht wil dagen en uw onderkleding nemen, geef hem dan ook het bovenkleed; en wie u zal dwingen één mijl te gaan, ga er twee met hem. 42 Geef aan hem die iets van u vraagt, en keer u niet af van hem die van u lenen wil.";;Geef aan hen die iets van u eisen;;;
23;Luk 6:30,34-35;HSV;30 Maar geef aan ieder die iets van u vraagt, en eis niet terug van hem die neemt wat van u is. […] En als u leent aan hen van wie u hoopt terug te ontvangen, wat voor dank komt u daarvoor toe? Immers, ook de zondaars lenen aan zondaars, om hetzelfde terug te ontvangen. Maar heb uw vijanden lief en doe goed, en leen zonder te hopen iets terug te krijgen. Dan zal uw loon groot zijn en zult u kinderen van de Allerhoogste zijn, want Hij is goedertieren over de ondankbaren en slechten. ;;;;;
23;Deut 15:8;HSV; Integendeel, u moet uw hand wijd voor hem opendoen en hem overvloedig lenen, genoeg voor wat hem ontbreekt.;;;;;
24;Mat 5:44-47;HSV;"Maar Ik zeg u: Heb uw vijanden lief; […]  zodat u kinderen zult zijn van uw Vader, Die in de hemelen is, want Hij laat Zijn zon opgaan over slechte en goede mensen, en laat het regenen over rechtvaardigen en onrechtvaardigen. Want als u hen liefhebt die u liefhebben, wat voor loon hebt u dan? Doen ook de tollenaars niet hetzelfde? En als u alleen uw broeders groet, wat doet u meer dan anderen? Doen ook de tollenaars niet zo?";;Heb uw vijanden lief, zodat je kinderen van de Vader zal zijn;;;
24;Luk 6:27,29-30;HSV;"Maar Ik zeg tegen u die dit hoort: Heb uw vijanden lief; doe goed aan hen die u haten. […] Bied hem die u op de ene wang slaat, ook de andere. Verhinder hem die het bovenkleed van u afpakt, niet ook uw onderkleed te nemen. Maar geef aan ieder die iets van u vraagt, en eis niet terug van hem die neemt wat van u is. ";;;;;
24;Luk 6:35;;35 Maar heb uw vijanden lief en doe goed, [...] Dan zal uw loon groot zijn en zult u kinderen van de Allerhoogste zijn, want Hij is goedertieren over de ondankbaren en slechten.;;;;;
24;Lev 19:18;HSV;U mag geen wraak nemen of een wrok koesteren tegen uw volksgenoten, maar u moet uw naaste liefhebben als uzelf. Ik ben de HEERE.;;;;;
24;Rom 12:20;HSV;Als dan uw vijand honger heeft, geef hem te eten, als hij dorst heeft, geef hem te drinken, want door dat te doen, zult u vurige kolen op zijn hoofd hopen.;;;;;
;Mar 10:19;HSV;U kent de geboden: [...] u zult niet doden;;;;;
25;Mat 5:44b;HSV;"Bid voor hen die u beledigen en u vervolgen;";;Zegen en bid voor hen die u beledigen, vervloeken en vervolgen;;;
25;Luk 6:28;HSV;Zegen hen die u vervloeken. Bid voor hen die u belasteren.;;;;;
25;;;;;;;;
25;Luk 23:34;HSV;En Jezus zei: Vader, vergeef het hun, want zij weten niet wat zij doen. En ze verdeelden Zijn kleren en wierpen het lot.;;;;;
25;Han 7:59-60;HSV;En zij stenigden Stefanus, terwijl deze Jezus aanriep en zei: Heere Jezus, ontvang mijn geest. En terwijl hij op de knieën viel, riep hij met luide stem: Heere, reken hun deze zonde niet toe! En toen hij dat gezegd had, ontsliep hij.;;;;;
25;1 Kor 4:13;HSV;Worden wij belasterd, dan bidden wij. Wij zijn geworden als het uitvaagsel van de wereld en het afschraapsel van allen tot nu toe.;;;;;
26;Mat 5:48;HSV;Weest u dan volmaakt, zoals uw Vader, Die in de hemelen is, volmaakt is.;;Weest u dan volmaakt, zoals uw Vader, Die in de hemelen is, volmaakt is.;;;
26;Jac 1:4;HSV;Maar laat die volharding ook volledig [mogen] doorwerken, opdat u volmaakt bent en geheel oprecht, en in niets tekortschiet.;;;;;
26;Deut 18:13;NaB;Een gaaf geheel zul je wezen met de Ene, je God!;;;;;
26;Joz 24:14;NaB;"nu dan, vreest de Ene, en dient hem in gaafheid en in trouw; verwijdert de goden die uw vaderen hebben gediend aan de overzij van de Rivier en in Egypte, en dient de Ene; ";;;;;
26;Rom 12:2;NaB;Wordt niet gelijkvormig aan deze eeuw, maar wordt hervormd in vernieuwing van het denken, zodat gij kunt toetsen wat de wil van God is, het goede en welbehaaglijke en volmaakte.;;;;;
;Mat 10:25;HSV;Het moet genoeg zijn voor de discipel dat hij wordt zoals zijn meester, en dat de dienaar wordt zoals zijn heer.;;;;;
26;Mat 19:21;HSV;"Jezus zei tegen hem: Als u volmaakt wilt zijn, ga dan heen, verkoop wat u hebt, en geef het aan de armen, en u zult een schat hebben in de hemel; en kom dan en volg Mij.";;;;;
26;Kol 4:12;HSV;Epafras groet u, die er een van u is, een dienstknecht van Christus, die altijd voor u strijdt in de gebeden, opdat u, volmaakt en volkomen, vaststaat in heel de wil van God.;;;;;
;;;;;;;;
;;;;;;;;
27;Mat 6:2-4;HSV;"Wanneer u dan een liefdegave geeft, laat het niet voor u uitbazuinen, zoals de huichelaars in de synagogen en op de straten doen, opdat zij door de mensen geëerd zouden worden. Voorwaar, Ik zeg u: Zij hebben hun loon al.  Maar als u een liefdegave geeft, laat dan uw linkerhand niet weten wat uw rechterhand doet, zodat uw liefdegave in het verborgene zal zijn; en uw Vader, Die in het verborgene ziet, zal het u in het  openbaar vergelden.";Verneder je als een kind;Want ieder die zichzelf verhoogt, zal vernederd worden en wie zichzelf vernedert, zal verhoogd worden.;;;
27;Luk 14:7-11;HSV;"En Hij sprak een gelijkenis tot de genodigden, toen Hij merkte hoe zij de ereplaatsen voor zichzelf uitkozen. Hij zei tegen hen:
8. Wanneer u door iemand op een bruiloft uitgenodigd bent, ga dan niet aanliggen op de ereplaats, opdat niet misschien iemand die voornamer is dan u, door hem uitgenodigd is,
9. en hij die u en hem uitgenodigd heeft, tegen u zal komen zeggen: Geef hem die plaats. U zou dan tot uw schande de laatste plaats beginnen in te nemen.
10. Maar wanneer u uitgenodigd bent, ga er heen en ga op de laatste plaats aanliggen, opdat, als hij komt die u uitgenodigd heeft, hij tegen u zal zeggen: Vriend, kom hoger op. Dan zal dat u tot eer zijn in de ogen van allen die met u aanliggen.
11. Want ieder die zichzelf verhoogt, zal vernederd worden en wie zichzelf vernedert, zal verhoogd worden.";;;;;
27;Job 22:29;HSV;Als ze iemand vernederen, en je zegt: Omhoog! dan zal God degene die de ogen heeft neergeslagen, verlossen.;;;;;
27;Spr 29:23;HSV;De hoogmoed van een mens zal hem vernederen, maar de nederige van geest zal de eer vasthouden.;;;;;
27;Mat 23:11-12;HSV;"Maar de belangrijkste van u zal uw dienaar zijn. 12. En wie zichzelf zal verhogen, zal vernederd worden; en wie zichzelf zal vernederen, zal verhoogd worden.";;;;;
27;Luk 1:51;HSV;Hij heeft een krachtig werk gedaan door Zijn arm. Hij heeft hen die hoogmoedig zijn in de gedachten van hun hart, uiteengedreven.;;;;;
27;Luk 18:14;HSV;Ik zeg u: Deze man ging gerechtvaardigd terug naar zijn huis, in tegenstelling tot die andere. Want ieder die zichzelf verhoogt, zal vernederd worden en wie zichzelf vernedert, zal verhoogd worden.;;;;;
27;Jak 4:6;HSV;Hij echter geeft des te meer genade. Daarom zegt de Schrift: God keert Zich tegen de hoogmoedigen, maar aan de nederigen geeft Hij genade.;;;;;
27;Jak 4:10;HSV;Verneder u voor de Heere, en Hij zal u verhogen.;;;;;
27;1 Pet 5:5;HSV;"Evenzo, jongeren, wees aan de ouderen onderdanig; en wees allen elkaar onderdanig. Wees met nederigheid bekleed, want God keert Zich tegen de hoogmoedigen, maar de nederigen geeft Hij genade.";;;;;
27;Spr 16:19;HSV;Het is beter met zachtmoedigen nederig van geest te zijn, dan de buit met hoogmoedigen te delen.;;;;;
27;Mat 18:4;;Wie zich dan zal vernederen als dit kind, die is de belangrijkste in het Koninkrijk der hemelen.;;;;;
